,Win,Lose,-
Viktor AXELSEN,187,41,7
LEE Zii Jia,125,67,1
KIDAMBI Srikanth,124,68,4
Rasmus GEMKE,102,60,4
Toma Junior POPOV,153,85,11
Lakshya SEN,150,57,7
Kento MOMOTA,206,24,7
Kunlavut VITIDSARN,260,69,10
Anders ANTONSEN,133,59,8
LOH Kean Yew,96,37,1
CHOU Tien Chen,171,76,1
Kanta TSUNEYAMA,89,60,7
Shesar Hiren RHUSTAVITO,91,49,8
Thomas ROUXEL,69,66,4
Jonatan CHRISTIE,119,68,6
PRANNOY H. S.,70,63,0
LEE Cheuk Yiu,76,58,2
Kantaphon WANGCHAROEN,88,82,1
NG Ka Long Angus,101,71,7
Hans-Kristian Solberg VITTINGHUS,73,63,2
Kenta NISHIMOTO,107,74,3
SAI PRANEETH B.,73,64,6
LIEW Daren,56,57,4
WANG Tzu Wei,95,83,1
Tommy SUGIARTO,64,55,5
Sameer VERMA,71,57,4
PARUPALLI Kashyap,62,55,5
Brice LEVERDEZ,93,83,3
Chico Aura DWI WARDOYO,63,42,1
Mark CALJOUW,115,61,3
Sitthikom THAMMASIN,64,47,3
Ygor COELHO,102,68,2
Sourabh VERMA,65,44,3
Misha ZILBERMAN,81,85,9
HEO Kwanghee,69,55,8
Nhat NGUYEN,153,78,2
Koki WATANABE,66,37,0
Christo POPOV,222,100,14
LEE Dong Keun,48,48,4
Pablo ABIAN,158,77,2
Brian YANG,250,72,23
Anthony Sinisuka GINTING,120,75,6
Mads CHRISTOPHERSEN,81,44,0
Victor SVENDSEN,101,51,1
Ajay JAYARAM,55,48,6
Felix BURESTEDT,77,59,2
CHEAM June Wei,77,44,2
Joran KWEEKEL,84,53,7
Khosit PHETPRADAB,65,63,4
LU Guang Zu ,66,40,0
Ditlev Jaeger HOLM,87,33,4
Magnus JOHANNESEN,93,46,4
Luís Enrique PEÑALVER,97,81,4
Kai SCHAEFER,71,71,6
Xiaodong SHENG,72,44,2
Kodai NARAOKA,105,40,4
Lucas CLAERBOUT,63,58,3
Max WEISSKIRCHEN,77,53,8
Henrikho KHO WIBOWO,20,41,0
Toby PENTY,87,53,4
SOONG Joo Ven,70,42,1
Sergey SIRANT,70,60,2
NG Tze Yong,102,32,1
Subhankar DEY,91,61,3
B. R. Sankeerth,72,66,5
Alex LANE,65,39,4
Johnnie TORJUSSEN,98,49,2
Chirag SEN,62,45,5
Kiran GEORGE,85,40,1
Philip Illum KLINDT,68,31,3
LEONG Jun Hao,93,36,6
Ihsan Maulana MUSTOFA,48,36,7
Jason Anthony HO-SHUE,158,123,5
Georges Julien PAUL,126,70,9
Alvaro VAZQUEZ,63,63,3
Raul MUST,69,48,2
Alejandro ALCALA,64,50,9
Maxime MOREELS,67,74,3
Jeppe BRUUN,66,39,4
Carlos PIRIS,97,83,15
Mithun MANJUNATH,45,42,5
Abhinav MANOTA,91,65,5
Yanis GAUDIN,97,67,9
Kim BRUUN,77,55,3
Samuel HSIAO,46,36,4
Fabio CAPONIO,87,91,4
Luka WRABER,67,75,3
Alap MISHRA,45,35,2
Christian KIRCHMAYR,45,59,5
Ade Resky DWICAHYO,148,70,2
Julien CARRAGGI,168,97,8
Lino MUNOZ,98,74,7
B.M.Rahul BHARADWAJ,61,21,2
Thomas FOURCADE,72,51,4
Harry HUANG,63,26,2
Søren TOFT,57,41,2
David KIM,50,26,2
Youcef Sabri MEDEL,81,40,9
Grégoire DESCHAMP,79,54,10
Enogat ROY,96,63,10
