,Win,Lose,-
Jongkolphan KITITHARAKUL & Rawinda PRAJONGJAI,125,86,5
Nami MATSUYAMA & Chiharu SHIDA,107,33,11
Gabriela STOEVA & Stefani STOEVA,146,60,8
KIM Soyeong & KONG Heeyong,109,37,3
TAN Pearly & THINAAH Muralitharan,42,26,4
Chloe BIRCH & Lauren SMITH,61,48,2
Ashwini PONNAPPA & REDDY N. Sikki,55,72,8
Puttita SUPAJIRAKUL & Sapsiree TAERATTANACHAI,55,41,8
Julie FINNE-IPSEN & Mai SURROW,25,21,6
Nita Violina MARWAH & Putri SYAIKAH,63,31,9
Maiken FRUERGAARD & Sara THYGESEN,65,67,7
Amalie MAGELUND & Freja RAVN,104,41,5
Greysia POLII & Apriyani RAHAYU,139,53,5
Alexandra BØJE & Mette POULSEN,29,24,10
Benyapa AIMSAARD & Nuntakarn AIMSAARD,22,32,1
LEE Sohee & SHIN Seungchan,135,50,5
Chisato HOSHI & Aoi MATSUDA,21,10,1
Siti Fadia Silva RAMADHANTI & Ribka SUGIARTO,29,16,4
Alyssa TIRTOSENTONO & Imke VAN DER AAR,18,11,1
Linda EFLER & Isabel LOHAU,31,53,10
Vivian HOO & LIM Chiew Sien,2,6,0
Johanna MAGNUSSON & Clara NISTAD,15,10,0
Selena PIEK & Cheryl SEINEN,69,44,4
Clara AZURMENDI & Beatriz CORRALES,9,13,6
Rin IWANAGA & Kie NAKANISHI,41,13,2
LEE Meng Yean & YAP Cheng Wen,2,5,0
JEONG Na Eun & KIM Hye Jeong,13,7,0
Julie MACPHERSON & Ciara TORRANCE,24,19,3
Kati-Kreet MARRAN & Helina RÜÜTEL,37,30,2
BAEK Ha Na & LEE Yu Rim,50,12,2
Yuki FUKUSHIMA & Arisa HIGASHINO,4,1,0
Mayu MATSUMOTO & Wakana NAGAHARA,133,46,5
HUANG Dong Ping & ZHENG Yu,12,2,2
Rachel HONDERICH & Kristen TSAI,72,40,8
Febriana Dwipuji KUSUMA & Amalia Cahaya PRATIWI,20,9,3
Mayu MATSUMOTO & Ayako SAKURAMOTO,3,2,0
Mariia STOLIARENKO & Yelyzaveta ZHARKA,9,9,0
Yuki FUKUSHIMA & Sayaka HIROTA,169,44,7
Kate FROST & Moya RYAN,10,32,4
Margot LAMBERT & Anne TRAN,11,5,0
Fitriani FITRIANI & Yulia Yosephine SUSANTO,0,2,2
Yulfira BARKAH & Febby Valencia Dwijayanti GANI,4,1,1
Jessica HOPTON & Jessica PUGH,7,8,4
JAKKAMPUDI Meghana & S RAM Poorvisha,31,47,2
HSU Ya Ching & HU Ling Fang,31,40,0
Christine BUSCH & Amalie SCHULZ,65,37,3
DU Yue & LI Wen Mei,2,1,0
LIU Xuan Xuan & XIA Yu Ting,79,36,5
Annabella JAEGER & Stine KUESPERT,18,23,4
Emilie LEFEL & Anne TRAN,65,65,6
Jessica HOPTON &  Jenny MOORE,0,0,0
Annie LADO & Victoria WILLIAMS,0,3,0
Melani MAMAHIT & Tryola NADIA,24,11,0
Debora JILLE & Cheryl SEINEN,26,5,0
CHOW Mei Kuan & LEE Meng Yean,60,59,6
CHANG Ching Hui & LEE Chih Chen,1,4,1
Isabella NIELSEN & Marie Louise STEFFENSEN,6,5,1
Anna Ching Yik CHEONG & YAP Cheng Wen,5,2,1
Serena AU YEONG & Katharina HOCHMEIR,13,38,4
Amalie Cecilie KUDSK & Signe SCHULZ,13,10,2
Natasja P. ANTHONISEN & Clara GRAVERSEN,34,34,4
Jenny MOORE & Gronya SOMERVILLE,1,1,0
Ashwini BHAT K. & Shikha GAUTAM,13,11,3
Doha HANY & Hadia HOSNY,61,31,4
Ayako SAKURAMOTO & Yukiko TAKAHATA,75,28,2
CHEN Qing Chen & JIA Yi Fan,158,43,8
Anastasiia AKCHURINA & Olga MOROZOVA,59,46,3
Kilasu OSTERMEYER & Franziska VOLKMANN,3,2,2
Moa SJOO & Tilda SJOO,19,13,1
Laeticia JAFFRENNOU & Tea MARGUERITTE,2,6,0
Grace KING & Lizzie TOLMAN,1,3,2
Aline MÜLLER & Jenjira STADELMANN,27,16,3
Kim SCHMIDT & Zoé SINICO,0,9,2
Clara GRAVERSEN & Amalie SCHULZ,0,1,1
YAP Rui Chen & YAP Yee,12,12,2
Sara LUNDGAARD & Claudia PAREDES,0,2,0
Nerea IVORRA & Claudia LEAL,15,31,3
Debora JILLE & Lea PALERMO,0,1,0
Ainoa CUERVAS & Elena LORENZO,0,4,0
Flavie VALLET & Emilie VERCELOT,45,33,6
Daniela MACIAS & Danica NISHIMURA,41,18,8
Malya HOAREAU & Camille POGNANTE,89,42,4
