,Win,Lose,-
Pornpawee CHOCHUWONG,106,72,3
Akane YAMAGUCHI,200,63,4
PUSARLA V. Sindhu,162,66,2
Busanan ONGBAMRUNGPHAN,100,77,6
AN Seyoung,148,42,6
Phittayaporn CHAIWAN,204,78,10
Ratchanok INTANON,167,70,2
Line CHRISTOPHERSEN,136,46,4
YEO Jia Min,92,60,5
Yvonne LI,102,90,4
Lianne TAN,74,69,1
Sayaka TAKAHASHI,114,52,4
Neslihan YIGIT,142,53,2
Supanida KATETHONG,62,49,3
Aya OHORI,78,58,5
Gregoria Mariska TUNJUNG,103,67,4
Iris WANG,55,36,0
Clara AZURMENDI,105,69,11
Mia BLICHFELDT,112,60,3
LéOnice HUET,85,66,15
Evgeniya KOSETSKAYA,99,88,1
Line Højmark KJAERSFELDT,95,83,8
Kirsty GILMOUR,113,65,5
Julie Dawall JAKOBSEN,114,74,6
Beatriz CORRALES,86,72,12
Marie BATOMENE,77,63,6
PAI Yu Po,65,79,1
Jordan HART,97,68,2
Kristin KUUBA,162,98,7
KIM Gaeun,74,54,2
Ruselli HARTAWAN,62,52,6
Saina NEHWAL,90,59,3
Michelle LI,134,77,2
Nozomi OKUHARA,154,44,4
Maria ULITINA,55,64,1
Beiwen ZHANG,96,63,0
Putri Kusuma WARDANI,94,34,5
Aliye DEMIRBAG,93,49,3
QI Xuefei,114,44,3
Yaelle HOYAUX,77,63,3
Saena KAWAKAMI,56,36,1
SIM Yujin,56,37,3
Asuka TAKAHASHI,67,30,4
Linda ZETCHIRI,62,63,4
HE Bing Jiao,119,60,2
Jenjira STADELMANN,109,69,12
Ksenia POLIKARPOVA,76,60,2
 Carolina MARIN,158,37,5
Martina REPISKA,72,94,8
Sabrina JAQUET,57,57,4
WANG Zhi Yi,135,29,3
Katerina TOMALOVA,53,80,4
Yulia Yosephine SUSANTO,28,46,5
Fitriani FITRIANI,50,66,2
Natalia PERMINOVA,57,79,1
Irina Amalie ANDERSEN,86,59,4
Mariya MITSOVA,142,100,3
Soniia CHEAH,45,64,1
Freya REDFEARN,93,79,8
Nerea IVORRA,44,63,10
Soraya DE VISCH EIJBERGEN,55,36,4
GOH Jin Wei,81,44,2
IRA SHARMA,46,46,3
HAN Yue,76,46,7
Benyapa AIMSAARD,144,92,7
KISONA Selvaduray,64,30,2
Rachael DARRAGH,79,113,10
Laura SAROSI,73,54,5
Kate FROST,27,68,6
Cristina TERUEL,72,73,14
SUNG Jihyun,103,71,0
Sri Krishna Priya KUDARAVALLI,43,64,2
AAKARSHI KASHYAP,71,43,4
Ophelia CASIER,52,43,3
Laura ALVAREZ,19,57,10
Fabiana SILVA,99,50,5
Tereza ŠVÁBÍKOVÁ,162,128,17
Sara BOYLE ,43,65,5
Hristomira POPOVSKA,151,110,17
Amalie SCHULZ,135,78,8
Nairoby Abigail JIMENEZ,99,74,10
Daniela MACIAS,162,84,17
LEE Ying Ying,42,37,1
Ann-Kathrin SPOERI,88,77,3
Anna TATRANOVA,106,68,5
Malya HOAREAU,175,110,21
Marie CESARI,58,42,2
Romane CLOTEAUX-FOUCAULT,47,45,2
Emilie DROUIN,113,61,6
Camille POGNANTE,163,76,6
