,Win,Lose,-
Marcus Fernaldi GIDEON & Kevin Sanjaya SUKAMULJO,202,30,10
Takuro HOKI & Yugo KOBAYASHI,74,54,3
Kim ASTRUP & Anders Skaarup RASMUSSEN,122,67,4
ONG Yew Sin & TEO Ee Yi,77,64,4
Christo POPOV & Toma Junior POPOV,25,34,7
Pramudya KUSUMAWARDANA & Yeremia Erich Yoche Yacob RAMBITAN,37,19,1
Satwiksairaj RANKIREDDY & Chirag SHETTY,86,59,7
Aaron CHIA & SOH Wooi Yik,100,60,2
Mark LAMSFUSS & Marvin SEIDEL,87,68,7
Ben LANE & Sean VENDY,77,61,6
Fajar ALFIAN & Muhammad Rian ARDIANTO,121,61,3
Akira KOGA & Taichi SAITO,65,44,4
Leo Rolly CARNANDO & Daniel MARTHIN,97,26,4
Mohammad AHSAN & Hendra SETIAWAN,120,42,7
GOH Sze Fei & Nur IZZUDDIN,54,50,1
Muhammad Shohibul FIKRI & Bagas MAULANA,40,26,1
M.R. ARJUN & DHRUV KAPILA,15,18,2
Callum HEMMING & Steven STALLWOOD,12,10,1
LU Ching Yao & YANG Po Han,91,83,2
Supak JOMKOH & Kittinupong KEDREN,9,9,0
Lucas CORVEE & Ronan LABAR,21,12,0
Sabar Karyaman GUTAMA & Moh Reza Pahlevi ISFAHANI ,0,0,0
Ruben JILLE & Ties VAN DER LECQ,25,19,1
Daniel LUNDGAARD & Mathias THYRRI,32,21,3
LEE Yang & WANG Chi-Lin,93,33,2
KO Sung Hyun & SHIN Baekcheol,49,17,2
GOH V Shem & LOW Juan Shen,0,5,0
Joshua MAGEE & Paul REYNOLDS,28,46,3
Hiroyuki ENDO & Yuta WATANABE,92,47,3
TAN Kian Meng & TAN Wee Kiong,5,5,0
Keiichiro MATSUI & Yoshinori TAKEUCHI,48,29,2
Jeppe BAY & Lasse MØLHEDE,10,2,2
Alexander DUNN & Adam HALL,75,46,3
Nipitphon PHUANGPHUAPET & Tanupat VIRIYANGKURA,10,7,1
Takeshi KAMURA & Keigo SONODA,130,60,3
Mahiro KANEKO & Yunosuke KUBOTA,53,38,0
LEE Jhe-Huei & YANG Po-Hsuan,48,28,0
Marcus ELLIS & Chris LANGRIDGE,95,55,4
Matthew CLARE & Ethan VAN LEEUWEN,7,11,2
Joel EIPE & Rasmus KJÆR,19,12,8
Mathias CHRISTIANSEN & Niclas NOHR,5,6,0
Vladimir IVANOV & Ivan SOZONOV,98,67,6
ATTRI Manu & REDDY B. Sumeeth,46,64,2
Hiroki OKAMURA & Masayuki ONODERA,48,33,0
Fabien DELRUE & William VILLEGER,34,27,3
GOH V Shem & TAN Wee Kiong,91,52,2
CHOI SolGyu & KIM WonHo,1,4,1
KANG Minhyuk & SEO Seungjae,1,2,0
Panjer Aji Siloka DADIARA & Bryan Sidney ELOHIM,4,8,0
Christopher GRIMLEY & Matthew GRIMLEY,97,43,3
LOW Hang Yee & NG Eng Cheong,22,17,0
Rory EASTON & Zach RUSS,33,19,1
Philip Illum KLINDT & Mads THØGERSEN,19,10,2
Godwin OLOFUA & Anuoluwapo Juwon OPEYORI ,1,1,0
Adam HALL & Frederik SØGAARD,2,1,1
Jones Ralfy JANSEN & Peter KAESBAUER,42,23,4
Krishna Prasad GARAGA & Vishnuvardhan Goud PANJALA,16,5,2
Phillip CHEW & Ryan CHEW,48,61,6
Joan MONROY & Carlos PIRIS,41,40,10
Daniel HESS & Johannes PISTORIUS,16,15,1
Koceila MAMMERI & Youcef Sabri MEDEL,48,12,6
Jones Ralfy JANSEN & Jan Colin VÖLKER,0,1,0
Nikhar GARG & Aniruddha MAYEKAR,0,2,0
Emil LAURITZEN & Mads MUURHOLM,42,21,1
DI Zi Jian & WANG Chang,102,35,2
HE Ji Ting & TAN Qiang,59,47,1
Oliver LEYDON-DAVIS & Abhinav MANOTA,25,20,1
Philip BIRKER & Dominik STIPSITS,35,46,3
Ernesto BASCHWITZ & Alvaro LEAL,3,4,1
Samy CORVEE & Kenji LOVANG,3,5,1
Galuh DWI PUTRA & Gabriel Christopher Wintan WIJAYA,27,26,7
KONA Tarun & Shivam SHARMA,12,9,2
Natthapat TRINKAJEE & Tanupat VIRIYANGKURA,6,8,0
Mathias BOE & Michael SARFELT,0,1,0
Takuto INOUE & Kenya MITSUHASHI,4,4,0
Mads Pieler KOLDING & Frederik SØGAARD,13,3,1
Kristian KRÆMER & Marcus RINDSHØJ,9,4,0
Alejandro ALCALA & Alvaro VAZQUEZ,2,6,2
Adrian ALVAREZ & Pablo MURCIANO,11,13,2
Yee Jun CHANG & CHIA Weijie,5,3,0
Emil LAURITZEN & Mads VESTERGAARD,21,8,0
Jose MOLARES & Jaume PEREZ,5,8,1
Torjus FLAATTEN & Vegard RIKHEIM,18,17,3
Marvin DATKO & Patrick SCHEIEL,1,10,1
Eloi ADAM & Julien MAIO,20,12,2
Jason Anthony HO-SHUE & Nyl YAKURA,71,54,3
Mohamed Abderrahime BELARBI & Adel HAMEK ,1,0,0
ABIYYU Fauzan Majid & Habib2 ALFARIZ,1,2,0
Andreas SØNDERGAARD & Jesper TOFT,9,10,0
