,Win,Lose,-
Yuta WATANABE & Arisa HIGASHINO,124,52,11
Dechapol PUAVARANUKROH & Sapsiree TAERATTANACHAI,168,54,1
Mathias CHRISTIANSEN & Alexandra BØJE,56,31,1
Marcus ELLIS & Lauren SMITH,132,64,2
TAN Kian Meng & LAI Pei Jing,70,68,2
CHAN Peng Soon & GOH Liu Ying,107,61,3
TANG Chun Man & TSE Ying Suet,101,59,2
Niclas NOHR & Amalie MAGELUND,21,14,0
Praveen JORDAN & Melati Daeva OKTAVIANTI,85,53,4
Rinov RIVALDY & Pitha Haningtyas MENTARI,66,42,3
GOH Soon Huat & LAI Shevon Jemie,99,67,3
CHEN Tang Jie & PECK Yen Wei,37,33,2
HOO Pang Ron & CHEAH Yee See,55,34,2
Supak JOMKOH & Supissara PAEWSAMPRAN,43,26,2
Thom GICQUEL & Delphine DELRUE,102,60,5
KO Sung Hyun & EOM Hye Won,34,14,2
Yuki KANEKO & Misaki MATSUTOMO,31,34,0
Hafiz FAIZAL & Gloria Emanuelle WIDJAJA,86,57,0
Mark LAMSFUSS & Isabel LOHAU,92,71,7
CHANG Tak Ching & NG Wing Yung,44,43,0
Mikkel MIKKELSEN & Rikke SØBY,16,12,0
Adnan MAULANA & Mychelle Crhystine BANDASO,24,18,1
Jeppe BAY & Sara LUNDGAARD,19,12,0
Oliver LEYDON-DAVIS & Anona PAK,21,20,0
DHRUV KAPILA & REDDY N. Sikki,2,4,0
Robin TABELING & Selena PIEK,59,33,3
Satwiksairaj RANKIREDDY & Ashwini PONNAPPA,45,36,5
Jones Ralfy JANSEN & Linda EFLER,2,3,0
Zachariah Josiahno SUMANTI & Hediana JULIMARBELA,10,10,0
Mathias THYRRI & Mai SURROW,17,13,1
Rodion ALIMOV & Alina DAVLETOVA,96,50,3
Adam HALL & Julie MACPHERSON,39,32,3
Callum HEMMING & Jessica PUGH,20,11,1
LEE Jhe-Huei & HSU Ya Ching,29,21,1
YANG Po-Hsuan & HU Ling Fang,18,20,1
Sam MAGEE & Chloe MAGEE,58,65,3
WANG Yi Lyu & HUANG Dong Ping,153,36,3
REDDY B. Sumeeth & Ashwini PONNAPPA,7,11,1
Takuro HOKI & Nami MATSUYAMA,1,2,0
Patrick SCHEIEL & Franziska VOLKMANN,19,35,4
Rasmus ESPERSEN & Christine BUSCH,36,34,2
Kyohei YAMASHITA & Naru SHINOYA,28,16,3
Young Hyuk KIM & CHAE YuJung,2,4,0
Paul REYNOLDS & Rachael DARRAGH,21,28,1
Pranaav Jerry CHOPRA & REDDY N. Sikki,37,52,4
Callum HEMMING & Victoria WILLIAMS,0,3,1
FENG Yan Zhe & DU Yue,3,1,0
Nipitphon PHUANGPHUAPET & Benyapa AIMSAARD,1,2,0
Eloi ADAM & Margot LAMBERT,12,19,0
Steven STALLWOOD & Annie LADO,1,2,0
Ronan LABAR & Anne TRAN,30,22,1
Venkat Gaurav PRASAD & Juhi DEWANGAN,23,33,1
Rehan Naufal KUSHARJANTO & Lisa Ayu KUSUMAWATI,20,13,2
Yujiro NISHIKAWA & Saori OZAKI,15,3,1
SEO Seungjae & KIM Hye Jeong,0,2,0
Ruben JILLE & Imke VAN DER AAR,16,14,2
Ronan LABAR & Gronya SOMERVILLE,0,2,0
Jones Ralfy JANSEN & Kilasu OSTERMEYER,14,19,2
DHRUV KAPILA & JAKKAMPUDI Meghana,14,10,3
Jona VAN NIEUWKERKE & Lise JAQUES,14,20,2
Max FLYNN & Jessica PUGH,1,2,1
Misha ZILBERMAN & Svetlana ZILBERMAN,4,14,6
Ties VAN DER LECQ & Debora JILLE,19,15,2
William VILLEGER & Sharone BAUER,40,23,0
Dejan FERDINANSYAH & Serena KANI,14,8,0
DHRUV KAPILA & Ashwini PONNAPPA,3,1,0
Ghana Muhammad AL ILHAM & Ni Ketut Mahadewi ISTARANI,4,4,0
Akbar Bintang CAHYONO & Winny Oktavina KANDOW,44,24,0
